No,施設名,〒,所在地1,所在地2,℡,開　 設 年月日,開設者,管理者,歯科,矯正,小歯,口腔,備考,緯度,経度
798,山宮歯科医院,950-0992,新潟市中央区,上所上2丁目4番3号,025-284-4773,昭和51年5月6日,山宮　強,山宮　強,1,0,0,0,,37.902218,139.035172
799,横山歯科医院,950-0991,新潟市中央区,下所島2丁目11番5号,025-284-5057,昭和54年7月2日,横山　和夫,横山　和夫,1,0,0,0,,37.905201,139.045486
800,善隆歯科クリニック,950-0983,新潟市中央区,神道寺1丁目6番12号,025-241-5501,平成8年12月24日,渡辺　善隆,渡辺　善隆,1,1,1,0,,37.898178,139.056259
801,よしだ歯科医院,951-8051,新潟市中央区,新島町通1ﾉ町1974番地,025-226-7733,平成17年2月20日,吉田　恵美子,吉田　恵美子,1,0,1,0,,37.920284,139.048737
802,米山デンタルクリニック,950-0086,新潟市中央区,花園1丁目1番1号JR新潟駅CoCoLo本館ﾒﾃﾞｨｶﾙｺｰﾄB,025-244-4618,平成28年5月1日,医療法人社団　米山デンタルクリニック,米山　哲也,1,0,1,1,,37.913288,139.060867
803,ワイズ歯科クリニック,950-0946,新潟市中央区,女池西2丁目7番16号,025-285-7775,平成25年7月8日,山田　慶,山田　慶,1,0,1,0,,37.890202,139.033585
804,渡辺歯科医院,950-0908,新潟市中央区,幸西3丁目2番1号,025-244-2366,平成29年9月1日,渡邉　学,渡邉　学,1,0,0,0,,37.910801,139.047165
805,浅川歯科クリニック,950-0129,新潟市江南区,三條岡2丁目2番9号,025-383-1900,平成18年8月7日,浅川　栄勉,浅川　栄勉,1,1,1,0,,37.869389,139.123215
806,アピタフレンドリー歯科,950-0157,新潟市江南区,鵜ﾉ子4丁目466番地ｱﾋﾟﾀ新潟亀田店2F,025-381-8089,平成20年9月1日,医療法人美山会,今井　秀明,1,1,1,1,,37.871838,139.089905
807,アポロ歯科クリニック,950-0150,新潟市江南区,下早通柳田1丁目1番1号ｲｵﾝ新潟南SC2F,025-211-3081,平成25年5月1日,医療法人ひまわり会　,高澤　英嗣,1,1,1,1,,37.875652,139.083664
808,医療法人社団　吉田歯科医院　よしだファミリー歯科,950-1134,新潟市江南区,天野2丁目13番11号,025-280-7800,平成25年10月28日,医療法人社団　吉田歯科医院,吉田　孝史,1,0,1,1,,37.854725,139.033279
809,医療法人社団良美会　いとう歯科クリニック,950-1134,新潟市江南区,天野1丁目10番27号,025-280-6484,平成26年4月1日,医療法人社団　良美会,小野　友彰,1,1,1,0,,37.854759,139.027863
810,うぐいす歯科,950-0214,新潟市江南区,うぐいす1丁目6番3号,025-278-3009,平成23年5月16日,金子　敦郎,金子　敦郎,1,0,1,1,,37.87479,139.133148
811,枝並歯科医院,950-0123,新潟市江南区,亀田水道町1丁目1番54号,025-382-7202,平成27年10月1日,前川　孝治,前川　孝治,1,1,1,1,,37.870506,139.115128
812,枝並歯科クリニック,950-0151,新潟市江南区,亀田四ﾂ興野3丁目3番34号,025-382-5553,平成元年8月1日,医療法人社団枝並歯科クリニック,枝並　幸男,1,0,0,0,,37.870468,139.097672
813,えなみ歯科医院,950-0132,新潟市江南区,砂岡3丁目3番14号,025-382-4810,平成27年1月1日,榎並　一仁,榎並　一仁,1,0,1,0,,37.863304,139.123001
814,上野山歯科医院,950-0134,新潟市江南区,曙町1丁目2番1号,025-381-6166,昭和63年10月8日,上野山　智久,上野山　智久,1,0,0,0,,37.862461,139.1194
815,かめだデンタルクリニック,950-0163,新潟市江南区,東船場3丁目2番8号,025-383-5082,平成23年6月14日,医療法人社団　雅会,宮　雅己,1,1,1,1,,37.876743,139.106979
816,矯正ループ歯科,950-0156,新潟市江南区,早苗1丁目3番17号,025-382-0200,平成7年2月10日,吉田　孝洋,吉田　孝洋,0,1,0,0,,37.868988,139.094803
817,倉嶋歯科クリニック,950-0105,新潟市江南区,大渕3485番地,025-277-0685,平成21年4月1日,医療法人社団慧真会,倉島　敏明,1,0,1,1,,37.893311,139.144516
818,五月町デンタルクリニック,950-0167,新潟市江南区,五月町2丁目11番38号,025-384-8884,令和元年5月15日,坂井　登,坂井　登,1,0,1,1,,37.872883,139.095947
819,城山歯科,950-0137,新潟市江南区,城山1丁目2番74号,025-381-5050,平成28年7月1日,小林　智宏,小林　智宏,1,0,0,0,,37.864426,139.11026
820,竹内歯科クリニック,950-0212,新潟市江南区,茜ｹ丘7番地1,025-385-5016,平成8年11月7日,竹内　祐一,竹内　祐一,1,1,1,0,,37.857319,139.138855
821,田辺歯科医院,950-0131,新潟市江南区,袋津4丁目4番5号,025-381-7800,平成元年10月2日,田辺　慶直,田辺　慶直,1,0,1,0,,37.864601,139.115265
822,そのき歯科医院,950-1135,新潟市江南区,曽野木1丁目7番18号,025-285-7315,昭和57年8月4日,中島　幸羊,中島　幸羊,1,0,0,0,,37.867619,139.0448
823,中村歯科医院,950-0161,新潟市江南区,亀田中島3丁目2448番地13,025-382-7799,昭和58年11月15日,中村　隆,中村　隆,1,0,0,0,,37.886272,139.101578
824,西歯科医院,950-0208,新潟市江南区,横越中央8丁目2番10号,025-385-2155,平成3年5月11日,西　克師,西　克師,1,0,1,1,,37.850964,139.144287
825,フェイス歯科医院,950-0152,新潟市江南区,亀田緑町4丁目2番21号,025-381-1182,平成元年11月9日,医療法人社団誠実会,佐藤　英代,1,1,1,1,,37.870865,139.100143
826,深井歯科医院,950-0165,新潟市江南区,西町1丁目3番21号,025-382-6631,昭和56年11月26日,深井　治澄,深井　治澄,1,0,0,0,,37.874199,139.107513
827,ふれあい歯科クリニック,950-0168,新潟市江南区,早通6丁目7番34号,025-383-0110,平成21年10月20日,社会医療法人　愛仁会,渡邉　覚,1,0,1,1,,37.863239,139.081451
828,本間歯科医院,950-0168,新潟市江南区,早通2丁目1番44号,025-382-0788,令和6年5月1日,本間　健二,本間　健二,1,0,1,0,,37.863087,139.086853
829,丸山歯科医院,950-0153,新潟市江南区,船戸山4丁目9番21号,025-381-2309,平成17年1月1日,丸山　利彦,丸山　利彦,1,0,0,0,,37.866558,139.106003
830,三浦歯科医院,950-0208,新潟市江南区,横越中央2丁目10番5号,025-385-4139,昭和58年10月4日,三浦　孝司,三浦　孝司,1,1,1,0,,37.85611,139.147659
831,みゆき歯科医院,950-0164,新潟市江南区,亀田本町2丁目2番14号,025-381-2324,平成16年2月23日,今泉　幸,今泉　幸,1,1,1,0,,37.871361,139.108063
832,よこごし野村歯科クリニック,950-0208,新潟市江南区,横越中央5丁目2-17,025-385-2611,平成27年5月16日,野村　修一,野村　修一,1,0,1,1,,37.85313,139.15181
833,あおば歯科クリニック倉田歯科醫院,956-0037,新潟市秋葉区,西古津1番4号,0250-24-6480,平成18年2月1日,倉田　透,倉田　透,1,0,1,0,,37.773468,139.114456
834,あきは　そらいろ歯科,956-0851,新潟市秋葉区,金沢町2丁目8番12号,0250-47-3933,令和元年9月17日,小島　守晴,小島　守晴,1,1,1,1,,37.799301,139.135971
835,五十嵐歯科医院,956-0046,新潟市秋葉区,出戸176番地2,0250-23-3559,平成3年10月2日,五十嵐　勤,五十嵐　勤,1,0,0,0,,37.786121,139.072021
836,五十嵐歯科クリニック,956-0864,新潟市秋葉区,新津本町1丁目3番23号,0250-25-2000,平成4年8月3日,五十嵐　明,五十嵐　明,1,0,1,1,,37.797474,139.121872
837,いの歯科医院,956-0832,新潟市秋葉区,秋葉3丁目4番18号,0250-23-4123,平成7年9月4日,猪野　潔,猪野　潔,1,1,1,0,,37.789909,139.135086
838,医療法人玄徳会おぎかわ歯科,956-0013,新潟市秋葉区,田島833番地,0250-23-4880,平成15年2月4日,医療法人玄徳会,土田　真史,1,1,1,0,,37.829693,139.114777
839,医療法人徳真会　松村歯科新津診療所,956-0023,新潟市秋葉区,美幸町3丁目1番12号2,0250-24-6688,平成20年12月19日,医療法人徳真会,坂ノ上　隆晃,1,1,1,1,,37.799885,139.114639
840,うめつ歯科医院,956-0025,新潟市秋葉区,古田1丁目6番41号,0250-23-1580,平成25年5月1日,医療法人　うめつ歯科医院,梅津　英裕,1,1,1,0,,37.794487,139.111359
841,えんどう歯科医院,956-0017,新潟市秋葉区,あおば通1丁目7番11号,0250-47-7900,平成18年10月12日,遠藤　基広,遠藤　基広,1,0,0,0,,37.83255,139.101593
842,海津歯科医院,956-0864,新潟市秋葉区,新津本町3丁目12番27号,0250-22-0039,平成15年9月1日,医療法人社団　海津歯科医院,海津　基生,1,0,1,0,,37.795361,139.12442
843,かえつ歯科,956-0831,新潟市秋葉区,中沢町1番25号,0250-25-5510,平成25年6月1日,社会医療法人新潟勤労者医療協会,駒形　雄気,1,0,1,1,,37.791332,139.124313
844,五三蔵井上歯科医院,956-0031,新潟市秋葉区,新津4513番地2,0250-23-2411,令和5年1月1日,井上　朝日,井上　朝日,1,1,1,0,,37.792881,139.113022
845,こすぎ小児歯科,956-0804,新潟市秋葉区,荻島1丁目15番10号,0250-24-8317,平成9年4月5日,小杉　誠司,小杉　誠司,1,1,1,0,,37.832829,139.118973
846,小林歯科医院,956-0864,新潟市秋葉区,新津本町2丁目12-6,0250-47-4665,平成27年9月15日,小林　徹也,小林　徹也,1,1,1,1,,37.799843,139.124969
847,齋藤歯科医院,956-0015,新潟市秋葉区,川口770番地2,0250-23-2300,平成3年11月19日,齋藤　善和,齋藤　善和,1,0,0,0,,37.815353,139.117874
848,笹川矯正歯科,956-0015,新潟市秋葉区,川口638番地3,0250-21-7777,平成12年8月8日,笹川　美也子,笹川　美也子,0,1,0,0,,37.814983,139.116943
849,さつき野歯科・矯正歯科医院,956-0022,新潟市秋葉区,さつき野2丁目11番20号,0250-47-6111,令和6年4月1日,医療法人社団　彩雲会,寺久保　瑞樹,1,1,1,1,,37.811142,139.115967
850,佐野歯科・矯正歯科医院,956-0861,新潟市秋葉区,北上2丁目1番54号,0250-24-2828,平成3年10月1日,医療法人社団佐野歯科医院,佐野　澄子,1,0,1,0,,37.809719,139.125381
851,さわだ歯科医院,956-0025,新潟市秋葉区,古田3-5-17,0250-22-1167,平成6年3月1日,沢田　進一,沢田　　進一,1,0,0,0,,37.795696,139.107529
852,澤田歯科医院,956-0864,新潟市秋葉区,新津本町2丁目7番3号新津ﾛｲﾔﾙｺｰﾌﾟ1F,0250-22-3755,平成25年8月19日,澤田　雅仁,澤田　雅仁,1,0,1,1,,37.798893,139.126083
853,サン歯科クリニック,956-0864,新潟市秋葉区,新津本町4丁目17番58号,0250-25-1133,昭和59年10月5日,浅見　浩之,浅見　浩之,1,1,1,0,,37.794514,139.127747
854,渋谷歯科医院,956-0033,新潟市秋葉区,新栄町16番6号,0250-25-2627,昭和61年10月1日,渋谷　正隆,渋谷　正隆,1,1,1,0,,37.7882,139.118454
855,曽根歯科医院,956-0865,新潟市秋葉区,善道町1丁目6番47号,0250-25-1188,昭和61年5月28日,曽根　清和,曽根　清和,1,1,1,0,,37.80294,139.123428
856,高橋歯科医院,956-0816,新潟市秋葉区,新津東町1丁目10番7号,0250-25-1331,昭和60年7月15日,高橋　典男,高橋　典男,1,1,1,1,,37.803173,139.140533
857,たけいし歯科クリニック,956-0027,新潟市秋葉区,美善2丁目4-7,0250-47-3700,平成20年6月4日,竹石　英之,竹石　英之,1,0,1,0,,37.805519,139.115753
858,竹内歯科医院,956-0101,新潟市秋葉区,小須戸字川原3819-1,0250-38-2401,令和元年6月1日,竹内　亨,竹内　亨,1,0,0,0,,37.764103,139.073181
859,田澤歯科医院,956-0864,新潟市秋葉区,新津本町2丁目4番9号,0250-22-0289,昭和51年1月6日,田澤　興平,田澤　興平,1,0,1,0,,37.797626,139.123825
860,とがし歯科医院,956-0011,新潟市秋葉区,車場3丁目7番35号,0250-23-2577,平成2年4月7日,富樫　久朋,冨樫　久朋,1,1,1,1,,37.837727,139.108429
861,プレイス歯科クリニック,956-0035,新潟市秋葉区,程島2045番地1,0250-21-1181,平成17年12月24日,長谷川　圭太,長谷川　圭太,1,0,0,0,,37.789688,139.112152
862,まるやま歯科医院,956-0035,新潟市秋葉区,程島1876-12,0250-24-0424,平成21年4月22日,丸山　薫,丸山　薫,1,0,1,0,,37.784805,139.113129
863,三村歯科医院,956-0864,新潟市秋葉区,新津本町3丁目3番30号,0250-22-0337,平成15年4月1日,三村　博史,三村　博史,1,1,0,1,,37.796947,139.124512
864,森歯科医院,956-0113,新潟市秋葉区,矢代田1966番地1,0250-38-5206,平成17年3月1日,森　琢磨,森　琢磨,1,0,0,0,,37.749496,139.096298
865,森山歯科医院,956-0835,新潟市秋葉区,朝日221番地2,0250-24-6565,昭和58年11月28日,森山　豊,森山　豊,1,0,0,0,,37.772888,139.118271
866,矢部歯科医院,956-0101,新潟市秋葉区,小須戸3741番地,0250-38-2141,平成元年8月1日,舩久保　曜子,舩久保　曜子,1,0,0,0,,37.755383,139.068176
867,渡辺歯科医院,956-0101,新潟市秋葉区,小須戸3430番地,0250-38-4562,昭和52年12月8日,渡辺　安規,渡辺　安規,1,0,1,0,,37.759071,139.068954
868,あたか歯科医院,950-1209,新潟市南区,親和町6-18,025-371-1800,平成21年8月11日,安宅　信博,安宅　信博,1,0,1,0,,37.766956,139.019882
869,大通り歯科,950-1203,新潟市南区,大通黄金3丁目1-1,025-362-6480,平成27年12月16日,渡部　平馬,渡部　平馬,1,1,1,1,,37.825645,139.01944
870,久保歯科医院,950-1235,新潟市南区,高井興野134番地1,025-362-2541,平成7年7月10日,久保　修,久保　修,1,0,1,1,,37.79528,139.014496
871,木暮歯科医院,950-1217,新潟市南区,白根3094番地,025-372-2555,平成2年8月1日,医療法人社団恵和会,木暮　一雄,1,1,1,1,,37.763054,139.013474
872,こせんだ歯科医院,950-1213,新潟市南区,能登507番地4,025-372-1183,平成27年5月1日,医療法人社団　こせんだ歯科医院,小千田　雅,1,1,1,1,,37.768112,139.029388
873,さくま歯科クリニック,950-1446,新潟市南区,庄瀬1073番地2,025-373-3487,平成25年11月18日,佐久間　亮,佐久間　亮,1,1,1,1,,37.717873,139.038254
874,椎名歯科医院,950-1412,新潟市南区,臼井1378番地2,025-373-3436,平成元年10月2日,椎名　克行,椎名　克行,1,0,1,1,,37.784229,139.052368
875,しのはら歯科,950-1227,新潟市南区,鯵潟441番地5,025-373-6232,令和元年6月10日,篠原　隆介,篠原　隆介,1,1,1,1,,37.77631,139.016708
876,すわのき歯科クリニック,950-1477,新潟市南区,田中25番地,025-372-0118,平成28年8月8日,医療法人社団　中真会,田中　博子,1,1,1,1,,37.754993,139.018768
877,ダイセー歯科クリニック,950-1214,新潟市南区,上下諏訪木126番地1,025-373-3883,平成30年9月1日,医療法人社団大清仁歯会,鈴木　由美子,1,1,1,0,,37.759583,139.013153
878,滝澤歯科医院,950-1304,新潟市南区,月潟229番地1,025-375-1180,平成11年10月20日,滝澤　賢一,滝澤　賢一,1,0,0,0,,37.722694,138.991989
879,竹内歯科,950-1215,新潟市南区,助次右ｴ門組23番地,025-373-2005,平成5年9月11日,医療法人社団成仁会,竹内　一紀,1,1,1,1,,37.760956,139.017502
880,月潟歯科クリニック,950-1304,新潟市南区,月潟457番地1,025-375-2685,令和6年11月1日,医療法人社団　月潟歯科クリニック,菅原　香,1,0,0,0,,37.727119,138.991821
881,にへい歯科医院,950-1216,新潟市南区,白根ﾉ内七軒635番地,025-372-3939,平成2年4月1日,医療法人社団にへい歯科医院,二瓶　徹,1,1,1,1,,37.762672,139.019714
882,野内歯科医院,950-1475,新潟市南区,戸頭1399番地5,025-373-0077,平成9年7月16日,野内　昭宏,野内　昭宏,1,0,1,0,,37.758133,139.018463
883,フォーラム歯科医院,950-1213,新潟市南区,能登2丁目10番12号,025-371-1122,平成8年5月1日,佐藤　正治,佐藤　正治,1,1,1,1,,37.769997,139.015488
884,みずき歯科診療所,950-1446,新潟市南区,庄瀬7031番,025-367-7262,令和7年6月1日,医療法人社団　Ｌａｕｇｈ　Ｗｉｔｈ,坪川　瑞樹,1,0,1,1,,37.717724,139.033966
885,相澤歯科医院,950-2023,新潟市西区,小新5丁目5番12号,025-211-8051,平成26年9月4日,相澤　悟,相澤　悟,1,0,0,1,,37.882057,139.001617
886,あおき歯科医院,950-2044,新潟市西区,坂井砂山4丁目3番28号,025-260-0033,昭和63年4月21日,青木　達男,青木　達男,1,0,1,0,,37.86937,138.958481
887,あおやま歯科医院,950-2001,新潟市西区,浦山2丁目1番66号ｻﾝｼｬｲﾝ青山2F,025-231-0882,平成14年8月21日,木村　威,木村　威,1,0,1,1,,37.90247,139.005569
888,浅妻歯科黒埼診療所,950-1101,新潟市西区,山田2602番地,025-379-2515,昭和55年9月8日,浅妻　康宏,浅妻　康宏,1,0,1,1,,37.863289,139.01445
889,雨田歯科医院,950-2053,新潟市西区,寺尾前通3丁目3番4号,025-233-2115,平成9年9月1日,医療法人社団雨田歯科医院,雨田　安弘,1,0,0,0,,37.87833,138.98172
890,あらし歯科口腔外科クリニック,950-2111,新潟市西区,大学南2丁目2番10号,025-263-1110,平成25年6月4日,嵐山　貴徳,嵐山　貴徳,1,0,1,1,,37.866409,138.944595
891,いからし歯科,950-2102,新潟市西区,五十嵐2の町8254番地,025-211-5260,平成16年8月23日,五十嵐　源太郎,五十嵐　源太郎,1,0,1,0,,37.864994,138.940002
892,池矯正歯科医院,950-2054,新潟市西区,寺尾東3丁目2番19号,025-264-1511,平成9年5月26日,池　元太郎,池　元太郎,0,1,0,0,,37.873047,138.97435
893,医療法人社団ＩＤＣ　いしかわこどもファミリー歯科,950-2044,新潟市西区,坂井砂山2丁目15番17号,025-260-6400,平成30年8月15日,医療法人社団ＩＤＣ,石川　福太郎,1,1,1,1,,37.873383,138.958801
894,五十川歯科医院,950-2038,新潟市西区,新通南2丁目11番11号,025-260-8069,平成17年7月11日,五十川　圭一,五十川　圭一,1,0,1,0,,37.859138,138.959854
895,いっせい歯科クリニック,950-2002,新潟市西区,青山4丁目7番1号,025-231-8027,平成20年9月9日,加藤　一誠,加藤　一誠,1,0,0,0,,37.89608,138.997253
896,伊藤歯科医院,950-2064,新潟市西区,寺尾西1丁目5-20 ,025-268-3578,平成27年4月15日,伊藤　史生,伊藤　史生,1,0,1,1,,37.881741,138.969711
897,いとう歯科診療室,950-2157,新潟市西区,内野西が丘3丁目10番15号,025-263-1184,平成30年4月18日,伊藤　陸,伊藤　陸,1,0,1,1,,37.848709,138.922333
898,いのうえ歯科クリニック,950-2036,新潟市西区,新通西2丁目8番3号,025-261-6566,平成24年5月1日,医療法人　Sunny Smile,井上　哲,1,1,1,1,,37.861931,138.950302
899,医療法人徳真会松村歯科新潟診療所,950-2023,新潟市西区,小新5丁目6番9号,025-201-1885,平成15年4月16日,医療法人徳真会,山田　哲也,1,1,1,1,,37.882607,139.002106
900,岩野歯科医院,950-1111,新潟市西区,大野町2932番地,025-377-5815,昭和55年1月7日,岩野　清史,岩野　清史,1,1,1,0,,37.845959,139.015839
901,上野歯科医院,950-1104,新潟市西区,寺地544番地6,025-230-1481,平成3年1月10日,上野　源子,上野　源子,1,0,1,0,,37.880932,139.007736
902,おおはし歯科医院,950-2064,新潟市西区,寺尾西2丁目2番36号,025-260-1023,平成26年4月1日,渡邉　直子,渡邉　直子,1,1,1,0,,37.879509,138.968887
903,おおぬき歯科クリニック,950-2023,新潟市西区,小新南2丁目1番78号,025-211-3741,平成31年4月16日,大貫　尚志,大貫　尚志,1,0,1,1,,37.868259,138.993484
904,大村歯科医院,950-2014,新潟市西区,小針西2丁目11番8号,025-267-4754,平成8年9月1日,大村　国明,大村　国明,1,0,0,0,,37.886436,138.98317
905,小畑歯科医院,950-2014,新潟市西区,小針西1丁目3番7号,025-266-2905,昭和60年1月1日,小畑　研一,小畑　研一,1,0,0,0,,37.887627,138.988083
906,川上歯科医院,950-2064,新潟市西区,寺尾西5丁目8番62号,025-269-5388,令和7年7月1日,医療法人社団　ＮＡＳＫ,川上　尚彦,1,1,1,1,,37.882465,138.963409
907,川崎歯科医院,950-2012,新潟市西区,小針台1番47号,025-266-7010,昭和46年6月8日,医療法人社団川崎歯科医院,川崎　竜彦,1,1,1,1,,37.891827,138.989853
908,神成歯科医院,950-2112,新潟市西区,内野町468番地,025-262-2171,昭和41年3月1日,医療法人社団神成歯科医院,神成　康一,1,0,1,0,,37.857433,138.936249
909,木村歯科クリニック,950-2002,新潟市西区,青山1丁目23-1,025-250-1795,平成20年10月15日,木村　哲也,木村　哲也,1,0,1,1,,37.89584,139.00206
910,桐生歯科医院,950-0119,新潟市西区,亀貝3163番地 ,025-260-3379,令和5年10月25日,桐生　貴大,桐生　貴大,1,0,1,1,,37.870163,138.982666
911,きんじょう歯科こどもクリニック,950-2162,新潟市西区,五十嵐中島5丁目17番45号,025-261-6480,平成27年2月12日,金城　奈津子,金城　奈津子,1,0,1,0,,37.848434,138.9142
912,黒川歯科医院,950-2075,新潟市西区,松海が丘2丁目4番9号,025-267-3369,平成10年3月23日,黒川　泉,黒川　泉,1,1,1,0,,37.888313,138.9767
913,Ｋ・歯科クリニック,950-1103,新潟市西区,立仏59番地1,025-370-1500,平成12年7月25日,懸高　仁志,懸高　仁志,1,0,1,0,,37.868053,139.009277
914,子田歯科医院,950-2072,新潟市西区,松美台4-66,025-378-8591,平成20年4月7日,子田　浩,子田　浩,1,0,1,0,,37.895992,138.991852
915,小林歯科医院,950-2162,新潟市西区,五十嵐3の町南4番76号,025-262-0110,昭和53年6月20日,小林　良一,小林　良一,1,1,1,0,,37.858318,138.931854
916,さかい歯科矯正歯科クリニック,950-1101,新潟市西区,山田416番地1第二大鵬ﾋﾞﾙ1F,025-370-1192,平成8年10月11日,坂井　出,坂井　出,1,1,1,0,,37.867413,139.016861
917,坂井輪ライト歯科,950-2053,新潟市西区,寺尾前通2丁目12-2,025-378-4182,平成29年6月19日,本多　利人,本多　利人,1,1,1,1,,37.879726,138.983414
918,佐久間歯科医院,950-1115,新潟市西区,鳥原2640番地1,025-378-7788,昭和62年7月16日,佐久間英治,佐久間　英治,1,1,1,0,,37.850101,139.008682
919,佐藤歯科クリニック,950-2026,新潟市西区,小針南台3-28,025-231-1361,平成22年10月12日,医療法人佐藤歯科クリニック,佐藤　秀夫,1,0,1,1,,37.889797,138.99292
920,下川路歯科医院,950-2264,新潟市西区,みずき野2丁目14番33号,025-239-0007,平成9年7月10日,下川路　知岳,下川路　知岳,1,0,1,0,,37.815639,138.903931
921,杉本歯科クリニック,950-2022,新潟市西区,小針1丁目4番17号,025-232-0885,平成9年10月1日,杉本　浩志,杉本　浩志,1,0,0,0,,37.889374,139.003403
922,杉山歯科医院,950-1115,新潟市西区,鳥原151番地4,025-370-1631,令和8年1月1日,伊藤　元貴,伊藤　元貴,1,0,1,1,,37.849709,139.012054
923,ときめきファミリー歯科・矯正歯科,950-1106,新潟市西区,ときめき西1丁目1番19号,025-377-1155,平成21年9月1日,医療法人社団　楽健,小栗　由充,1,1,1,1,,37.873123,139.007843
924,せいだデンタルクリニック,950-2045,新潟市西区,五十嵐東3丁目13-5,025-268-7748,平成22年3月25日,清田　清華,清田　清華,1,1,1,0,,37.877663,138.955185
925,たかだ歯科医院,950-2261,新潟市西区,赤塚4390番地,025-264-3911,平成14年1月4日,高田　真仁,高田　真仁,1,0,1,1,,37.814632,138.883148
926,滝歯科医院,950-1102,新潟市西区,善久97番地,025-379-0005,平成27年4月1日,医療法人社団　結愛会,瀧　豊,1,0,1,1,,37.859234,139.017075
927,たざわ歯科医院,950-2025,新潟市西区,小針南21番1号,025-233-0116,昭和62年6月9日,田沢　洋一,田沢　洋一,1,0,1,0,,37.882931,138.988647
928,たて歯科医院,950-1112,新潟市西区,金巻785番地1,025-379-0488,平成18年7月19日,楯　泰昌,楯　泰昌,1,0,1,0,,37.840263,139.001099
929,田辺歯科医院,950-2041,新潟市西区,坂井東6丁目12番33号,025-260-3221,昭和54年4月2日,田辺　秀也,田辺　秀也,1,0,0,0,,37.872345,138.966553
930,つちや歯科医院,950-2074,新潟市西区,真砂2丁目13番20号,025-267-7788,平成6年8月17日,土屋　真規,土屋　真規,1,0,0,0,,37.890686,138.981689
931,寺尾歯科医院,950-2064,新潟市西区,寺尾西3丁目4番3号,025-268-4312,平成24年11月24日,寺尾　浩子,寺尾　浩子,1,1,1,0,,37.877998,138.96582
932,なかじま歯科クリニック,950-2074,新潟市西区,真砂1丁目13番36号,025-211-3215,平成30年8月6日,中島　貴子,中島　貴子,1,0,0,1,,37.893124,138.985825
933,なかじま歯科医院,950-2157,新潟市西区,内野西が丘3丁目13-11,025-201-7548,平成31年4月19日,中島　大,中島　大,1,1,1,1,,37.847572,138.92276
934,西原歯科医院,950-1111,新潟市西区,大野町2879番地,025-377-2220,平成26年7月1日,西原　靖之,西原　靖之,1,0,0,0,,37.847218,139.017578
935,西原歯科クリニック,950-2026,新潟市西区,小針南台3番6号,025-265-2323,平成26年6月16日,西原　義之,西原　義之,1,1,1,1,,37.889118,138.992935
936,根津歯科医院,950-2054,新潟市西区,寺尾東3丁目1番12号,025-260-0400,昭和53年4月3日,医療法人社団根津歯科医院,根津　雄一,1,0,1,0,,37.872219,138.973892
937,野田歯科医院,950-2052,新潟市西区,寺尾6番33号,025-260-6081,昭和61年12月1日,医療法人社団野田歯科医院,野田　誠記,1,1,1,0,,37.881294,138.980225
938,ばばこども歯科クリニック,950-2004,新潟市西区,平島1丁目3-2,025-201-3900,平成24年4月2日,馬場　宏俊,馬場　宏俊,1,1,1,0,,37.891888,139.004227
939,東青山歯科医院,950-2003,新潟市西区,東青山1丁目5番19号青山ﾋﾞﾙ2F,025-233-0555,令和6年9月1日,茂木　祥宏,茂木　祥宏,1,0,1,0,,37.893433,139.002396
940,ひまわり歯科医院,950-2022,新潟市西区,小針4丁目39番7号,025-211-8807,平成18年9月27日,小木　一朗,小木　一朗,1,0,1,0,,37.881973,138.99556
941,ひらの歯科医院,950-2041,新潟市西区,坂井東3丁目27番8号,025-211-8006,平成29年5月1日,医療法人社団　D＆J,平野　大輔,1,0,1,1,,37.87104,138.976486
942,ひろお矯正歯科クリニック,950-2023,新潟市西区,小新5丁目3番27号,025-378-4872,平成29年6月3日,黒木　大雄,黒木　大雄,0,1,0,0,,37.882359,139.00087
943,深井・加藤歯科医院,950-2064,新潟市西区,寺尾西3丁目12番5号,025-260-8024,平成17年10月20日,深井　浩一,深井　浩一,1,1,1,1,,37.876167,138.964493
944,藤巻歯科医院,950-2022,新潟市西区,小針1丁目29番11号,025-231-3211,昭和62年9月7日,藤巻　哲,藤巻　哲,1,0,1,0,,37.889915,139.001358
945,ふじわら歯科クリニック,950-2076,新潟市西区,上新栄町6丁目18番20号,025-264-7007,平成16年4月6日,藤原　保彦,藤原　保彦,1,0,1,0,,37.880596,138.958939
946,プレール歯科,950-2004,新潟市西区,平島2丁目12番10号,025-231-0660,平成16年9月27日,大村　真由,大村　真由,1,0,1,0,,37.892799,139.007401
947,保苅歯科医院,950-2055,新潟市西区,寺尾上2丁目3番70号,025-260-1169,平成16年9月1日,保苅　俊治,保苅　俊治,1,0,0,0,,37.875542,138.972214
948,松木歯科医院,950-2042,新潟市西区,坂井1033番地1,025-260-8020,平成10年5月15日,松木　裕,松木　裕,1,0,0,0,,37.869583,138.963882
949,松田歯科医院,950-2022,新潟市西区,小針7丁目5番13号,025-234-1112,平成9年4月5日,松田　拓己,松田　拓己,1,0,1,1,,37.881401,138.989838
950,まつみだい歯科診療所,950-2072,新潟市西区,松美台5番9号,025-265-2525,平成26年4月1日,医療法人社団　明理会,木村　理絵,1,1,1,1,,37.894127,138.993134
951,松本歯科クリニック,950-2061,新潟市西区,寺尾北1丁目5番16号,025-264-1890,平成9年7月1日,医療法人社団松本歯科クリニック,谷口　裕臣,1,0,0,0,,37.886288,138.972198
